,niv,wap1,wap2,wap3,wap4,imb
2022-02-22 13:30:00+00:00,30.99,140.31,140.31,140.31,140.31,194.9
2022-02-22 14:00:00+00:00,-335.63,121.14,121.39,121.39,121.39,66.0
2022-02-22 14:30:00+00:00,-464.07,106.67,112.94,112.94,112.94,87.693
2022-02-22 15:00:00+00:00,-353.28,93.96,110.43,110.43,110.43,61.2
2022-02-22 15:30:00+00:00,-25.69,110.21,120.29,122.15,122.15,127.97
2022-02-22 16:00:00+00:00,154.4,116.83,126.14,126.14,126.14,203.0
2022-02-22 16:30:00+00:00,208.99,169.48,162.08,161.33,161.33,203.14
2022-02-22 17:00:00+00:00,-41.9,155.43,156.25,156.72,156.72,163.69
2022-02-22 17:30:00+00:00,517.95,190.81,190.76,190.76,190.76,219.14
2022-02-22 18:00:00+00:00,829.05,233.11,227.23,225.19,225.19,219.14
2022-02-22 18:30:00+00:00,488.77,238.15,229.92,228.27,228.27,219.14
2022-02-22 19:00:00+00:00,-21.9,215.77,222.34,221.14,221.05,130.0
2022-02-22 19:30:00+00:00,97.91,186.26,187.02,187.55,187.55,204.14
2022-02-22 20:00:00+00:00,454.4,178.54,182.42,182.47,183.08,210.0
2022-02-22 20:30:00+00:00,-71.66,169.19,170.73,168.95,168.94,108.0
2022-02-22 21:00:00+00:00,93.33,199.91,188.04,187.92,185.73,199.0
2022-02-22 21:30:00+00:00,-62.39,161.62,171.05,171.03,169.68,75.0
2022-02-22 22:00:00+00:00,-311.32,124.81,133.85,137.04,137.54,75.0
2022-02-22 22:30:00+00:00,-351.41,119.28,129.23,131.68,131.99,0.0
2022-02-22 23:00:00+00:00,-255.91,61.82,62.87,62.87,62.87,0.0
2022-02-22 23:30:00+00:00,-41.08,56.33,73.6,73.6,73.6,0.0
2022-02-23 00:00:00+00:00,234.51,160.4,141.3,141.3,141.3,188.5
2022-02-23 00:30:00+00:00,258.13,167.59,151.48,151.48,151.48,189.0
2022-02-23 01:00:00+00:00,143.47,143.98,143.96,143.96,143.96,188.5
2022-02-23 01:30:00+00:00,-82.21,121.55,121.16,121.16,121.16,120.12
2022-02-23 02:00:00+00:00,191.42,138.27,138.27,138.27,138.27,188.5
2022-02-23 02:30:00+00:00,53.31,156.21,151.3,151.3,151.3,188.5
2022-02-23 03:00:00+00:00,-13.92,160.1,160.1,160.1,160.1,153.05
2022-02-23 03:30:00+00:00,-237.72,94.98,96.16,96.16,96.16,107.66
2022-02-23 04:00:00+00:00,-114.73,142.89,138.14,138.14,138.14,138.27
2022-02-23 04:30:00+00:00,-60.82,155.89,148.36,148.36,148.36,145.65
2022-02-23 05:00:00+00:00,30.0,129.28,142.76,142.76,142.76,174.68
2022-02-23 05:30:00+00:00,-21.15,92.93,108.03,109.1,109.1,21.0
2022-02-23 06:00:00+00:00,328.72,172.55,169.71,169.71,169.71,196.68
2022-02-23 06:30:00+00:00,767.78,195.89,184.72,183.9,183.9,201.96
2022-02-23 07:00:00+00:00,479.32,185.49,185.49,185.49,185.49,198.81
2022-02-23 07:30:00+00:00,844.15,198.69,197.84,197.69,197.69,205.0
2022-02-23 08:00:00+00:00,419.14,180.75,180.25,180.25,180.25,205.0
2022-02-23 08:30:00+00:00,218.92,184.99,183.96,183.96,183.96,205.0
2022-02-23 09:00:00+00:00,-315.17,69.52,78.07,78.07,78.07,0.0
2022-02-23 09:30:00+00:00,-482.13,36.45,60.61,60.62,60.62,-20.0
2022-02-23 10:00:00+00:00,134.53,169.85,157.75,157.75,157.75,195.0
2022-02-23 10:30:00+00:00,68.83,128.69,132.49,132.61,132.61,195.0
2022-02-23 11:00:00+00:00,322.49,132.09,132.02,132.02,132.02,200.0
2022-02-23 11:30:00+00:00,524.48,178.92,175.3,175.3,175.3,200.0
2022-02-23 12:00:00+00:00,574.03,188.99,181.02,181.02,181.02,200.0
2022-02-23 12:30:00+00:00,595.39,192.31,184.55,184.55,184.55,200.0
2022-02-23 13:00:00+00:00,574.69,173.55,172.68,171.94,171.94,200.0
2022-02-23 13:30:00+00:00,489.49,177.02,171.71,169.83,169.83,200.0
2022-02-23 14:00:00+00:00,674.11,198.3,186.84,175.44,175.44,200.0
2022-02-23 14:30:00+00:00,290.89,189.04,183.08,178.02,178.02,199.0
2022-02-23 15:00:00+00:00,-204.77,78.89,113.19,113.19,113.19,30.0
2022-02-23 15:30:00+00:00,-65.25,89.21,105.72,108.76,108.76,76.25
2022-02-23 16:00:00+00:00,53.38,149.18,149.58,149.6,149.6,100.0
2022-02-23 16:30:00+00:00,111.62,179.5,172.34,171.09,171.09,209.0
2022-02-23 17:00:00+00:00,-41.73,163.58,167.34,168.51,168.51,177.61
2022-02-23 17:30:00+00:00,149.11,192.41,196.55,196.18,196.18,230.0
2022-02-23 18:00:00+00:00,340.13,189.95,195.27,195.56,195.56,235.0
2022-02-23 18:30:00+00:00,362.46,185.75,186.75,186.93,186.93,235.0
2022-02-23 19:00:00+00:00,333.95,188.77,188.04,187.3,187.3,230.0
2022-02-23 19:30:00+00:00,272.26,170.36,172.27,172.48,173.05,230.0
2022-02-23 20:00:00+00:00,346.24,216.19,196.15,194.98,194.98,220.0
2022-02-23 20:30:00+00:00,-11.69,181.44,169.33,169.33,169.33,81.0
2022-02-23 21:00:00+00:00,82.32,175.51,175.49,174.48,174.48,199.0
2022-02-23 21:30:00+00:00,368.73,147.31,152.28,152.24,152.24,199.0
2022-02-23 22:00:00+00:00,624.64,186.67,167.05,166.92,166.2,199.0
2022-02-23 22:30:00+00:00,280.47,190.98,170.23,167.07,167.07,197.5
2022-02-23 23:00:00+00:00,254.05,173.34,172.21,172.21,172.21,192.0
2022-02-23 23:30:00+00:00,81.79,123.89,124.18,124.18,124.18,191.0
2022-02-24 00:00:00+00:00,140.83,95.72,95.72,95.72,95.72,191.0
2022-02-24 00:30:00+00:00,338.65,180.82,171.95,171.95,171.95,198.0
2022-02-24 01:00:00+00:00,393.45,173.06,169.73,169.73,169.73,198.0
2022-02-24 01:30:00+00:00,286.31,168.88,166.2,166.2,166.2,198.0
2022-02-24 02:00:00+00:00,656.91,167.73,167.21,167.21,167.21,214.0
2022-02-24 02:30:00+00:00,1011.86,191.01,183.32,183.32,183.32,214.0
2022-02-24 03:00:00+00:00,1220.35,204.73,202.99,202.99,202.99,215.0
2022-02-24 03:30:00+00:00,984.94,213.5,209.79,208.74,208.74,214.0
2022-02-24 04:00:00+00:00,486.49,212.18,203.13,202.72,202.72,214.0
2022-02-24 04:30:00+00:00,74.48,185.44,186.28,185.79,185.79,198.0
2022-02-24 05:00:00+00:00,-41.95,188.72,189.36,189.36,189.36,131.88
2022-02-24 05:30:00+00:00,63.61,157.21,160.23,160.23,160.23,200.0
2022-02-24 06:00:00+00:00,0.85,96.71,124.75,126.58,126.91,175.0
2022-02-24 06:30:00+00:00,411.2,165.02,161.44,162.23,162.23,215.0
2022-02-24 07:00:00+00:00,860.6,210.53,202.13,202.13,202.13,230.0
2022-02-24 07:30:00+00:00,1126.46,235.17,234.72,234.62,234.62,240.0
2022-02-24 08:00:00+00:00,1462.9,246.63,245.82,245.82,245.82,257.28
2022-02-24 08:30:00+00:00,1405.16,242.4,238.82,238.82,238.82,256.0
2022-02-24 09:00:00+00:00,1737.14,277.67,269.92,269.92,269.91,289.12
2022-02-24 09:30:00+00:00,1198.06,292.06,285.52,285.51,285.5,270.0
2022-02-24 10:00:00+00:00,680.0,267.74,267.26,265.52,265.47,270.0
2022-02-24 10:30:00+00:00,417.86,237.71,249.25,246.92,245.43,250.0
2022-02-24 11:00:00+00:00,100.63,239.34,246.61,247.61,247.61,245.0
2022-02-24 11:30:00+00:00,259.41,189.37,191.45,195.74,195.74,250.0
2022-02-24 12:00:00+00:00,-81.19,211.71,209.37,209.37,209.38,80.0
2022-02-24 12:30:00+00:00,-665.93,168.05,170.69,170.62,170.62,-8.52
2022-02-24 13:00:00+00:00,-68.63,151.82,166.91,168.03,168.03,82.51
2022-02-24 13:30:00+00:00,258.77,107.73,127.57,127.58,127.58,250.0
2022-02-24 14:00:00+00:00,553.31,212.64,201.3,201.3,201.3,270.0
2022-02-24 14:30:00+00:00,858.45,249.11,202.97,202.88,202.88,270.0
2022-02-24 15:00:00+00:00,589.68,223.17,215.85,211.45,211.45,270.0
2022-02-24 15:30:00+00:00,485.77,277.59,265.98,264.1,264.1,270.0
2022-02-24 16:00:00+00:00,-17.7,269.77,262.82,262.82,262.82,90.5
2022-02-24 16:30:00+00:00,79.36,259.3,263.52,262.74,262.74,295.0
2022-02-24 17:00:00+00:00,71.78,184.25,195.83,195.83,195.83,295.0
2022-02-24 17:30:00+00:00,297.06,311.82,312.95,312.6,311.23,319.0
2022-02-24 18:00:00+00:00,549.31,345.87,338.14,338.14,338.14,320.0
2022-02-24 18:30:00+00:00,329.62,329.53,327.56,327.55,327.55,319.0
2022-02-24 19:00:00+00:00,-35.36,257.69,275.24,275.98,276.03,95.0
2022-02-24 19:30:00+00:00,96.96,265.07,264.45,264.57,264.57,295.0
2022-02-24 20:00:00+00:00,114.98,242.66,246.57,246.57,246.57,295.0
2022-02-24 20:30:00+00:00,107.58,196.72,205.92,207.69,207.69,290.0
2022-02-24 21:00:00+00:00,63.38,155.05,165.87,167.76,167.76,290.0
2022-02-24 21:30:00+00:00,136.38,172.32,171.43,172.91,172.91,290.0
2022-02-24 22:00:00+00:00,238.9,193.58,186.43,186.23,186.23,269.0
2022-02-24 22:30:00+00:00,-50.79,130.82,128.86,129.51,129.51,149.928
2022-02-24 23:00:00+00:00,546.7,165.35,165.46,165.46,165.46,270.0
2022-02-24 23:30:00+00:00,562.41,146.66,150.0,150.0,150.0,269.0
2022-02-25 00:00:00+00:00,436.18,176.21,165.5,165.5,165.5,269.0
2022-02-25 00:30:00+00:00,182.33,220.51,197.55,197.55,197.55,255.0
2022-02-25 01:00:00+00:00,17.86,152.44,157.04,157.07,157.07,100.0
2022-02-25 01:30:00+00:00,261.7,141.55,152.76,153.76,153.75,255.0
2022-02-25 02:00:00+00:00,356.19,110.14,116.66,117.1,117.28,269.0
2022-02-25 02:30:00+00:00,344.8,126.03,126.34,127.66,127.32,255.0
2022-02-25 03:00:00+00:00,322.01,127.03,127.04,127.12,127.12,255.0
2022-02-25 03:30:00+00:00,326.51,105.39,108.69,108.93,109.01,255.0
2022-02-25 04:00:00+00:00,366.38,116.85,123.82,123.82,123.91,255.0
2022-02-25 04:30:00+00:00,531.88,120.18,123.74,124.08,124.08,285.0
2022-02-25 05:00:00+00:00,783.68,136.9,138.6,138.61,138.61,285.0
2022-02-25 05:30:00+00:00,964.88,166.15,162.15,162.14,162.14,285.0
2022-02-25 06:00:00+00:00,657.6,234.39,226.77,226.77,226.77,285.0
2022-02-25 06:30:00+00:00,588.29,217.79,214.71,214.71,214.71,285.0
2022-02-25 07:00:00+00:00,-127.16,201.76,208.42,208.43,208.43,86.0
2022-02-25 07:30:00+00:00,-58.97,184.3,212.21,212.22,212.22,88.11
2022-02-25 08:00:00+00:00,-362.28,149.7,155.85,155.85,155.85,90.1
2022-02-25 08:30:00+00:00,-309.76,151.94,165.11,165.78,165.78,92.0
2022-02-25 09:00:00+00:00,-194.82,142.59,150.75,150.77,150.77,133.0
2022-02-25 09:30:00+00:00,-69.2,146.2,149.12,149.13,149.13,133.6
2022-02-25 10:00:00+00:00,131.14,190.14,192.66,192.67,192.67,295.0
2022-02-25 10:30:00+00:00,62.52,199.0,198.43,198.5,198.5,284.0
2022-02-25 11:00:00+00:00,242.48,249.32,245.09,245.09,245.09,295.0
2022-02-25 11:30:00+00:00,253.32,266.16,263.82,263.83,263.83,295.0
2022-02-25 12:00:00+00:00,218.88,235.18,234.29,234.29,234.29,295.0
2022-02-25 12:30:00+00:00,6.52,206.59,211.88,211.88,211.88,280.979
2022-02-25 13:00:00+00:00,-148.5,223.33,219.92,220.26,220.26,137.0
2022-02-25 13:30:00+00:00,-281.62,200.33,202.73,203.16,203.16,136.367
2022-02-25 14:00:00+00:00,-375.48,210.33,210.32,210.32,210.32,138.1
2022-02-25 14:30:00+00:00,-455.92,172.56,183.95,183.95,183.95,138.1
2022-02-25 15:00:00+00:00,-602.67,159.34,176.13,176.13,176.13,138.0
2022-02-25 15:30:00+00:00,-443.82,153.59,168.62,168.62,168.62,138.0
2022-02-25 16:00:00+00:00,-301.96,183.02,195.21,195.23,195.23,138.1
2022-02-25 16:30:00+00:00,-486.99,178.43,204.81,205.0,205.0,138.0
2022-02-25 17:00:00+00:00,-284.62,170.82,180.45,180.45,180.45,139.5
2022-02-25 17:30:00+00:00,-243.31,223.24,227.95,227.95,227.95,139.5
2022-02-25 18:00:00+00:00,74.74,229.88,241.34,241.33,241.33,279.0
2022-02-25 18:30:00+00:00,43.33,218.11,223.55,225.35,225.35,279.0
2022-02-25 19:00:00+00:00,76.42,225.05,228.74,228.85,228.85,279.0
2022-02-25 19:30:00+00:00,-187.28,199.49,204.9,205.68,205.74,76.0
2022-02-25 20:00:00+00:00,109.57,237.88,238.54,238.53,238.53,250.0
2022-02-25 20:30:00+00:00,-239.9,179.4,191.06,190.85,190.85,140.5
2022-02-25 21:00:00+00:00,89.04,207.98,208.01,208.01,208.01,233.0
2022-02-25 21:30:00+00:00,-14.29,186.03,190.84,191.21,191.21,140.7
2022-02-25 22:00:00+00:00,97.53,213.08,208.26,207.18,207.61,226.82
2022-02-25 22:30:00+00:00,-195.73,193.29,198.36,197.7,197.93,129.0
2022-02-25 23:00:00+00:00,-597.15,121.42,138.81,138.81,146.06,76.0
2022-02-25 23:30:00+00:00,-207.81,131.25,147.25,162.43,162.43,141.0
2022-02-26 00:00:00+00:00,-318.95,163.77,165.71,165.71,165.71,140.921
2022-02-26 00:30:00+00:00,-238.52,174.62,182.6,183.26,183.26,141.2
2022-02-26 01:00:00+00:00,-110.93,158.96,172.12,173.17,173.17,171.6
2022-02-26 01:30:00+00:00,-66.91,138.04,148.01,152.52,152.52,200.0
2022-02-26 02:00:00+00:00,112.1,178.98,171.79,171.79,171.79,220.0
2022-02-26 02:30:00+00:00,32.86,181.46,167.5,166.95,166.95,216.0
2022-02-26 03:00:00+00:00,-91.34,190.63,190.56,190.56,190.56,179.56
2022-02-26 03:30:00+00:00,-247.21,144.61,144.75,144.75,144.75,161.77
2022-02-26 04:00:00+00:00,-3.46,202.56,198.38,198.38,198.38,30.0
2022-02-26 04:30:00+00:00,-82.9,178.79,182.81,182.71,182.71,30.0
2022-02-26 05:00:00+00:00,39.21,199.52,201.57,201.0,201.0,216.0
2022-02-26 05:30:00+00:00,-138.28,198.16,198.32,198.29,198.29,30.0
2022-02-26 06:00:00+00:00,-131.6,174.53,178.73,180.1,180.1,30.0
2022-02-26 06:30:00+00:00,-48.47,193.5,197.75,198.35,198.52,200.0
2022-02-26 07:00:00+00:00,-288.49,134.93,152.76,154.15,154.15,38.0
2022-02-26 07:30:00+00:00,-69.78,134.4,159.9,164.79,164.79,38.0
2022-02-26 08:00:00+00:00,21.56,181.85,187.7,188.18,188.18,223.0
2022-02-26 08:30:00+00:00,56.1,206.84,205.49,203.31,203.31,238.0
2022-02-26 09:00:00+00:00,-58.84,159.52,171.05,171.05,171.05,200.0
2022-02-26 09:30:00+00:00,-268.36,147.66,160.5,160.5,160.5,50.299
2022-02-26 10:00:00+00:00,-217.7,189.72,186.39,186.39,186.39,187.09
2022-02-26 10:30:00+00:00,-436.86,176.88,178.59,178.91,178.91,45.144
2022-02-26 11:00:00+00:00,-645.49,98.35,111.55,111.55,111.55,133.0
2022-02-26 11:30:00+00:00,-877.15,67.86,78.58,78.58,78.58,60.0
2022-02-26 12:00:00+00:00,-555.61,103.0,117.28,117.28,117.28,60.304
2022-02-26 12:30:00+00:00,-556.41,52.61,97.89,101.07,101.07,-60.0
2022-02-26 13:00:00+00:00,-566.89,62.74,83.18,83.18,83.18,132.92
2022-02-26 13:30:00+00:00,-692.85,72.39,89.77,89.86,89.86,134.46
2022-02-26 14:00:00+00:00,-158.11,150.83,142.8,142.66,142.66,150.31
2022-02-26 14:30:00+00:00,131.34,163.94,154.3,153.71,153.71,220.0
2022-02-26 15:00:00+00:00,-75.77,144.99,145.3,145.3,145.3,159.36
2022-02-26 15:30:00+00:00,9.47,187.07,171.1,171.1,171.1,220.0
2022-02-26 16:00:00+00:00,24.12,184.35,172.72,166.02,161.97,220.0
2022-02-26 16:30:00+00:00,-1.93,252.8,237.03,232.99,228.98,145.0
2022-02-26 17:00:00+00:00,-549.78,140.92,152.8,154.97,154.97,141.0
2022-02-26 17:30:00+00:00,-84.93,175.64,180.21,187.08,187.89,141.0
2022-02-26 18:00:00+00:00,285.8,240.37,229.02,229.11,229.03,268.0
2022-02-26 18:30:00+00:00,193.48,239.69,221.94,220.59,220.18,268.0
2022-02-26 19:00:00+00:00,278.15,229.65,218.78,218.6,218.6,268.0
2022-02-26 19:30:00+00:00,157.82,222.28,211.72,208.2,208.2,268.0
2022-02-26 20:00:00+00:00,89.39,187.33,190.13,190.13,190.13,268.0
2022-02-26 20:30:00+00:00,-296.77,109.54,123.15,127.8,127.8,60.0
2022-02-26 21:00:00+00:00,-18.16,232.67,204.49,204.46,204.46,143.0
2022-02-26 21:30:00+00:00,-54.45,173.84,166.23,166.23,166.23,143.6
2022-02-26 22:00:00+00:00,-90.94,169.88,168.35,168.27,168.27,143.6
2022-02-26 22:30:00+00:00,-325.94,90.12,118.6,119.89,119.89,153.83
2022-02-26 23:00:00+00:00,23.3,141.79,152.03,152.03,152.03,220.0
2022-02-26 23:30:00+00:00,-90.99,71.47,88.61,89.28,89.28,101.88
2022-02-27 00:00:00+00:00,-170.09,86.6,86.7,92.21,92.21,105.05
2022-02-27 00:30:00+00:00,78.64,123.65,123.24,123.24,123.24,234.0
2022-02-27 01:00:00+00:00,136.33,147.65,141.91,141.91,141.91,234.0
2022-02-27 01:30:00+00:00,-103.89,159.22,153.8,153.57,152.1,143.38
2022-02-27 02:00:00+00:00,-43.68,159.48,147.46,147.46,147.46,138.88
2022-02-27 02:30:00+00:00,-6.62,147.09,137.75,136.58,136.58,10.07
2022-02-27 03:00:00+00:00,-417.58,57.36,83.09,83.1,83.1,-63.72
2022-02-27 03:30:00+00:00,-386.74,-15.62,-9.52,-5.44,-5.44,-63.72
2022-02-27 04:00:00+00:00,-127.93,34.47,41.74,44.08,44.08,-17.06
2022-02-27 04:30:00+00:00,55.44,57.72,75.06,75.07,75.07,222.0
2022-02-27 05:00:00+00:00,-124.63,61.73,63.7,63.71,63.71,125.12
2022-02-27 05:30:00+00:00,90.15,104.49,103.5,103.5,103.5,222.0
2022-02-27 06:00:00+00:00,209.94,144.44,127.29,127.29,127.29,240.0
2022-02-27 06:30:00+00:00,389.06,196.69,185.0,183.86,183.86,244.0
2022-02-27 07:00:00+00:00,306.32,218.0,203.22,200.94,200.94,258.0
2022-02-27 07:30:00+00:00,118.45,225.97,211.17,206.18,206.18,258.0
2022-02-27 08:00:00+00:00,-375.69,169.59,175.38,176.39,176.39,60.0
2022-02-27 08:30:00+00:00,-455.4,129.45,139.21,146.47,148.55,10.0
2022-02-27 09:00:00+00:00,-623.97,69.61,80.86,83.36,83.36,0.0
2022-02-27 09:30:00+00:00,-572.17,63.29,84.93,92.31,92.31,0.0
2022-02-27 10:00:00+00:00,-452.94,78.03,93.04,94.76,94.76,60.0
2022-02-27 10:30:00+00:00,-325.25,76.49,112.58,114.47,114.47,0.0
2022-02-27 11:00:00+00:00,-552.23,69.98,84.89,84.89,84.89,-56.58
2022-02-27 11:30:00+00:00,-1048.83,14.69,33.9,33.9,33.9,-56.58
2022-02-27 12:00:00+00:00,-1359.79,-35.03,-1.93,-1.93,-1.93,-58.15
2022-02-27 12:30:00+00:00,-1520.69,-48.99,-15.11,-4.01,-4.01,-58.15
2022-02-27 13:00:00+00:00,-1338.87,-28.01,-13.49,-3.95,-3.95,-60.0
2022-02-27 13:30:00+00:00,-1476.85,-39.13,-35.78,-35.78,-35.78,-58.15
2022-02-27 14:00:00+00:00,-1402.2,-28.54,-21.11,-21.11,-21.11,-58.15
2022-02-27 14:30:00+00:00,-1375.77,-36.51,-17.27,-14.63,-13.71,-40.444
2022-02-27 15:00:00+00:00,-824.24,21.24,28.96,47.19,75.64,-53.46
2022-02-27 15:30:00+00:00,-486.47,36.03,48.14,65.22,77.19,103.68
2022-02-27 16:00:00+00:00,-461.5,81.86,82.29,86.23,86.65,55.0
2022-02-27 16:30:00+00:00,267.39,189.98,176.75,175.01,174.92,259.0
2022-02-27 17:00:00+00:00,-49.38,165.81,172.45,173.87,173.87,183.91
2022-02-27 17:30:00+00:00,117.46,215.11,201.75,198.72,198.55,277.5
2022-02-27 18:00:00+00:00,232.22,239.62,229.9,226.05,225.82,280.0
2022-02-27 18:30:00+00:00,45.57,231.4,226.99,224.06,223.8,277.5
2022-02-27 19:00:00+00:00,-195.09,180.28,187.88,190.49,191.08,60.0
2022-02-27 19:30:00+00:00,-134.05,168.31,174.4,176.93,177.32,80.0
2022-02-27 20:00:00+00:00,375.17,194.63,188.63,188.52,188.52,270.0
2022-02-27 20:30:00+00:00,173.44,167.64,165.77,165.2,165.2,267.0
2022-02-27 21:00:00+00:00,217.65,227.07,196.97,195.25,195.25,255.0
2022-02-27 21:30:00+00:00,-232.84,186.68,181.27,173.92,173.02,0.0
2022-02-27 22:00:00+00:00,-114.7,120.29,125.19,130.7,130.7,121.0
2022-02-27 22:30:00+00:00,-285.69,66.72,78.34,85.56,86.39,140.0
2022-02-27 23:00:00+00:00,-126.92,194.34,185.49,184.82,184.82,121.0
2022-02-27 23:30:00+00:00,-188.38,114.44,116.16,116.16,116.5,123.09
2022-02-28 00:00:00+00:00,-534.38,95.42,106.16,107.94,107.94,35.0
2022-02-28 00:30:00+00:00,-242.95,127.19,135.92,136.31,136.31,134.61
2022-02-28 01:00:00+00:00,-217.0,109.85,109.85,109.85,109.85,118.93
2022-02-28 01:30:00+00:00,-381.95,77.82,81.57,81.57,81.57,106.53
2022-02-28 02:00:00+00:00,-297.16,133.63,133.26,133.26,133.26,129.71
2022-02-28 02:30:00+00:00,-308.78,112.18,112.18,112.18,112.18,118.79
2022-02-28 03:00:00+00:00,-338.79,131.02,130.86,130.86,130.86,136.26
2022-02-28 03:30:00+00:00,-497.53,105.61,105.61,105.61,105.61,124.32
2022-02-28 04:00:00+00:00,-480.89,104.59,108.66,108.66,108.66,126.01
2022-02-28 04:30:00+00:00,-372.57,90.42,100.82,102.81,102.81,124.07
2022-02-28 05:00:00+00:00,40.89,191.45,189.65,189.54,189.64,177.0
2022-02-28 05:30:00+00:00,161.99,181.75,183.53,184.32,184.32,230.0
2022-02-28 06:00:00+00:00,370.54,211.87,206.91,206.58,206.45,255.0
2022-02-28 06:30:00+00:00,95.15,204.94,188.3,188.3,188.3,245.0
2022-02-28 07:00:00+00:00,10.13,184.01,178.21,177.36,177.33,176.44
2022-02-28 07:30:00+00:00,194.77,208.42,206.73,204.9,204.83,247.5
2022-02-28 08:00:00+00:00,-18.76,120.4,123.21,123.21,123.21,162.0
2022-02-28 08:30:00+00:00,-6.67,219.28,215.49,215.49,215.49,162.0
2022-02-28 09:00:00+00:00,-141.7,189.3,189.39,189.39,189.39,136.0
2022-02-28 09:30:00+00:00,-17.18,208.54,209.04,209.03,209.03,162.0
2022-02-28 10:00:00+00:00,-401.46,180.62,184.5,184.5,184.5,70.0
2022-02-28 10:30:00+00:00,-459.78,181.22,184.27,185.06,185.06,70.0
2022-02-28 11:00:00+00:00,-602.48,120.9,131.18,132.04,132.04,115.0
2022-02-28 11:30:00+00:00,-413.27,112.39,127.0,127.02,127.08,139.5
2022-02-28 12:00:00+00:00,-179.81,171.42,170.65,170.65,170.65,139.5
2022-02-28 12:30:00+00:00,84.4,183.47,184.17,184.16,184.16,247.5
2022-02-28 13:00:00+00:00,-147.27,171.24,172.06,172.06,172.06,139.5
2022-02-28 13:30:00+00:00,75.18,211.69,197.44,197.45,197.45,247.5
2022-02-28 14:00:00+00:00,-226.89,193.58,194.3,194.3,194.3,162.0
2022-02-28 14:30:00+00:00,-582.75,149.3,162.97,162.97,162.97,70.0
2022-02-28 15:00:00+00:00,235.63,202.98,202.63,202.6,202.6,225.75
2022-02-28 15:30:00+00:00,314.5,208.0,212.24,212.11,212.11,226.17
2022-02-28 16:00:00+00:00,263.81,218.57,213.5,213.16,213.16,247.5
2022-02-28 16:30:00+00:00,302.34,240.29,234.46,233.51,233.51,248.59
2022-02-28 17:00:00+00:00,88.66,238.72,233.79,233.6,234.0,275.0
2022-02-28 17:30:00+00:00,-104.61,280.7,278.48,276.89,276.87,162.0
2022-02-28 18:00:00+00:00,112.07,243.93,255.29,255.49,255.49,275.0
2022-02-28 18:30:00+00:00,56.42,209.36,235.35,235.55,235.55,275.0
2022-02-28 19:00:00+00:00,386.83,268.42,258.15,258.11,258.11,285.0
2022-02-28 19:30:00+00:00,295.13,244.83,242.31,242.31,242.31,270.0
2022-02-28 20:00:00+00:00,747.14,262.07,252.42,252.42,252.42,270.0
2022-02-28 20:30:00+00:00,231.19,245.32,234.74,233.67,233.67,258.35
2022-02-28 21:00:00+00:00,468.96,240.32,235.45,231.14,231.14,253.24
2022-02-28 21:30:00+00:00,499.13,210.86,218.39,218.77,218.77,251.238
2022-02-28 22:00:00+00:00,884.93,239.36,221.3,215.07,215.07,245.0
2022-02-28 22:30:00+00:00,928.69,236.83,226.35,222.8,222.8,245.0
2022-02-28 23:00:00+00:00,463.17,240.78,232.34,232.34,232.34,249.0
2022-02-28 23:30:00+00:00,540.67,248.19,241.44,241.01,241.01,257.0
2022-03-01 00:00:00+00:00,-32.51,206.74,216.87,216.88,216.88,163.1
2022-03-01 00:30:00+00:00,273.0,237.32,235.27,235.27,235.27,245.0
2022-03-01 01:00:00+00:00,61.39,227.9,227.9,227.9,227.9,229.0
2022-03-01 01:30:00+00:00,137.75,191.67,192.56,192.56,192.56,245.0
2022-03-01 02:00:00+00:00,321.52,209.92,211.27,211.27,211.27,245.0
2022-03-01 02:30:00+00:00,321.82,234.73,215.79,216.03,216.03,245.0
2022-03-01 03:00:00+00:00,91.77,213.32,213.75,213.75,213.75,229.0
2022-03-01 03:30:00+00:00,59.21,197.17,196.88,196.88,196.88,229.0
2022-03-01 04:00:00+00:00,203.26,209.27,205.32,205.32,205.32,245.0
2022-03-01 04:30:00+00:00,111.79,209.06,198.39,198.4,198.4,245.0
2022-03-01 05:00:00+00:00,298.68,253.16,249.97,247.94,247.94,245.0
2022-03-01 05:30:00+00:00,-36.28,228.28,222.36,221.82,221.82,163.0
2022-03-01 06:00:00+00:00,226.8,247.32,248.82,244.91,244.91,242.0
2022-03-01 06:30:00+00:00,335.05,256.97,256.15,249.65,244.88,245.0
2022-03-01 07:00:00+00:00,185.91,218.83,220.75,220.75,220.75,300.0
2022-03-01 07:30:00+00:00,214.62,321.61,310.8,310.8,310.8,290.0
2022-03-01 08:00:00+00:00,46.26,286.78,288.31,287.11,287.11,319.0
2022-03-01 08:30:00+00:00,-19.26,279.13,286.96,286.29,286.29,162.5
2022-03-01 09:00:00+00:00,97.51,297.92,295.49,295.49,295.49,340.0
2022-03-01 09:30:00+00:00,214.1,270.49,271.41,269.74,269.74,344.0
2022-03-01 10:00:00+00:00,-174.21,244.36,243.62,244.7,244.7,120.0
2022-03-01 10:30:00+00:00,-137.56,212.98,213.91,216.45,216.45,166.1
2022-03-01 11:00:00+00:00,-60.78,206.02,207.99,208.23,208.23,166.55
2022-03-01 11:30:00+00:00,-101.21,215.74,207.71,208.06,208.06,165.0
2022-03-01 12:00:00+00:00,-50.46,206.09,221.35,221.65,221.65,166.55
2022-03-01 12:30:00+00:00,-38.66,218.1,219.51,219.82,219.82,167.15
